ID_CLIENTE,SAFRA_REF,INADIMPLENTE
1000372849175668062,2021-08,0.17476293
1000372849175668062,2021-09,0.15837958
1000372849175668062,2021-10,0.16940486
1000372849175668062,2021-11,0.15837958
1002362614649347438,2021-07,0.17654797
1002362614649347438,2021-08,0.17654797
1002362614649347438,2021-09,0.17804419
1002362614649347438,2021-10,0.17654797
1002362614649347438,2021-11,0.17654797
1003144834589372198,2021-07,0.15837958
1003144834589372198,2021-08,0.1628143
1003144834589372198,2021-09,0.15837958
1003144834589372198,2021-10,0.1628143
1003144834589372198,2021-11,0.1628143
1028630885537616736,2021-10,0.15837958
1028630885537616736,2021-11,0.15837958
1033361676287635885,2021-07,0.17751545
1033361676287635885,2021-08,0.17654797
1033361676287635885,2021-09,0.17654797
1033361676287635885,2021-10,0.17654797
1036256411320325774,2021-07,0.17310782
1036256411320325774,2021-08,0.17375131
1036256411320325774,2021-09,0.17476293
1036256411320325774,2021-10,0.17476293
1036256411320325774,2021-11,0.17476293
1044568737046072781,2021-07,0.15837958
1044568737046072781,2021-09,0.17476293
1044568737046072781,2021-10,0.16589142
1044568737046072781,2021-11,0.16940486
1044946691507317745,2021-08,0.15837958
1044946691507317745,2021-09,0.15837958
1044946691507317745,2021-11,0.15837958
1052398277967427422,2021-08,0.18718584
1052398277967427422,2021-10,0.17310782
1052398277967427422,2021-11,0.15837958
1059336566956767188,2021-07,0.15837958
1059336566956767188,2021-09,0.15837958
1069093308328204542,2021-07,0.15837958
1069093308328204542,2021-08,0.16251177
1069093308328204542,2021-10,0.16887696
107343823625119033,2021-07,0.16262493
107343823625119033,2021-08,0.17476293
107343823625119033,2021-09,0.17476293
107343823625119033,2021-10,0.16905695
107343823625119033,2021-11,0.17760015
1078687383992817574,2021-07,0.16293065
1078687383992817574,2021-08,0.2165574
1078687383992817574,2021-09,0.17751545
1078687383992817574,2021-10,0.20973614
1088268935649917461,2021-07,0.15837958
1088268935649917461,2021-08,0.17476293
1088521227159442264,2021-07,0.17291832
1088521227159442264,2021-08,0.16063406
1088521227159442264,2021-09,0.17349422
1088521227159442264,2021-10,0.17349422
1088521227159442264,2021-11,0.17476293
1093053069479288753,2021-08,0.15837958
1093053069479288753,2021-11,0.16251177
1097345589386012260,2021-07,0.15837958
1097345589386012260,2021-08,0.15837958
1097345589386012260,2021-09,0.15837958
1097345589386012260,2021-10,0.15837958
1097345589386012260,2021-11,0.15837958
1104269683367198574,2021-07,0.15837958
1104269683367198574,2021-08,0.15837958
1104269683367198574,2021-10,0.17310782
1104269683367198574,2021-11,0.17310782
1106971614386004604,2021-07,0.15837958
1106971614386004604,2021-08,0.17310782
1106971614386004604,2021-09,0.16063406
1115703227712697214,2021-07,0.17310782
1115703227712697214,2021-08,0.16192915
1115703227712697214,2021-09,0.17310782
1115703227712697214,2021-10,0.17396568
1115703227712697214,2021-11,0.16940486
1117184216453911295,2021-07,0.15837958
1117184216453911295,2021-08,0.17773698
1117184216453911295,2021-09,0.17654797
1117184216453911295,2021-10,0.1892712
1117184216453911295,2021-11,0.15837958
1118514612547157551,2021-07,0.17476293
1118514612547157551,2021-08,0.17476293
1118514612547157551,2021-09,0.17408387
1118514612547157551,2021-10,0.17310782
1129657311668961746,2021-08,0.17310782
1129657311668961746,2021-09,0.17310782
1129657311668961746,2021-10,0.17674972
1129657311668961746,2021-11,0.16262493
113538242419211987,2021-07,0.15837958
1141681690629134039,2021-07,0.16262493
1156053485989336481,2021-07,0.19062313
1156053485989336481,2021-08,0.18641025
1156053485989336481,2021-09,0.18641025
1156053485989336481,2021-10,0.18641025
1156053485989336481,2021-11,0.18782339
1182975716201409626,2021-07,0.17349422
1182975716201409626,2021-08,0.15837958
1182975716201409626,2021-09,0.15837958
1182975716201409626,2021-10,0.17967838
1182975716201409626,2021-11,0.15837958
1192810733461560329,2021-07,0.16262493
1192810733461560329,2021-09,0.1628143
1192810733461560329,2021-10,0.15837958
1192810733461560329,2021-11,0.15837958
1192891347324061812,2021-07,0.1628143
1192891347324061812,2021-08,0.15837958
1192891347324061812,2021-09,0.1628143
1192891347324061812,2021-10,0.1628143
1192891347324061812,2021-11,0.1628143
1207306324957395736,2021-08,0.16293065
1210783884008131648,2021-07,0.17473453
1210783884008131648,2021-10,0.16251177
1210783884008131648,2021-11,0.16940486
121658372387044248,2021-07,0.16940486
121658372387044248,2021-08,0.17310782
121658372387044248,2021-10,0.17310782
121658372387044248,2021-11,0.16262493
1219954496802643881,2021-10,0.18292105
1234611356650812259,2021-07,0.16262493
1234611356650812259,2021-09,0.17310782
1234611356650812259,2021-10,0.16262493
1235244772550233980,2021-07,0.17396568
1235244772550233980,2021-08,0.17476293
1235244772550233980,2021-09,0.16940486
1235244772550233980,2021-10,0.17476293
1235244772550233980,2021-11,0.17396568
1246864346193559124,2021-11,0.16262493
1253437108265925705,2021-07,0.15837958
1253437108265925705,2021-08,0.17310782
1253437108265925705,2021-09,0.15837958
1253437108265925705,2021-10,0.15837958
1253437108265925705,2021-11,0.15837958
1269153452773908541,2021-07,0.15837958
1269153452773908541,2021-08,0.15837958
